"course_id";"instructor_id_id";"program_id";"course_code";"course_name";"department";"credit_hours";"prerequisites";"school_year";"semester"
1;0;1;"GEC-TCW";"The Contemporary World";"COED";3;"{}";"2023-2024";1
2;0;1;"GEC-AA";"Art Appreciation";"COED";3;"{}";"2023-2024";1
3;0;1;"GEC-US";"Understanding the Self";"COED";3;"{}";"2023-2024";1
4;0;1;"ED 111/ED-FC 1/ProfEd-E 211";"The Child and Adolescent Learner and Learning Principles";"COED";3;"{}";"2023-2024";1
5;0;1;"ED 112/ED-FC 2/ProfEd-E 323";"The Teaching Profession";"COED";3;"{}";"2023-2024";1
6;0;1;"TLE 111/MC 2";"Edukasyong Pantahanan at Pangkabuhayan";"COED";3;"{}";"2023-2024";1
7;0;1;"VED 112/MC 3";"Good Manners and Right Conduct (Edukasyon sa Pagpakatao)";"COED";3;"{}";"2023-2024";1
8;0;1;"PATHFit 1";"Physical Activities Towards Health and Fitness 1: Movement Compentency Training";"COED";2;"{}";"2023-2024";1
9;0;1;"NSTP 1";"National Service Training Program 1 (CWTS 1/LTS 1/ROTC 1)";"COED";3;"{}";"2023-2024";1
10;0;1;"GEC-LWR";"Life and Works of Rizal";"COED";3;"{}";"2023-2024";2
11;0;1;"GEC-MMW";"Mathematics in the Modern World";"COED";3;"{}";"2023-2024";2
12;0;1;"GEC-E";"Ethics";"COED";3;"{}";"2023-2024";2
13;0;1;"ED 123";"Facilitating Learner-Centered Teaching";"COED";3;"{}";"2023-2024";2
14;0;1;"ED 124/ED-FC 3";"Foundation of Special and Inclusive Education";"COED";3;"{}";"2023-2024";2
15;0;1;"TLE 123/MC 3";"Edukasyung Pantahanan at Pangkabuhayan with Entrepreneurship";"COED";3;"{}";"2023-2024";2
16;0;1;"FIL 124/MC 4";"Pagtuturo ng Filipino sa Elementary(I)- Estruktura at Gamit ng Wikang Filipino";"COED";3;"{}";"2023-2024";2
19;0;1;"GEC-PC";"Purposive Communication";"COED";3;"{}";"2023-2024";1
20;0;1;"GEC-STS";"Science,Technology, and Society";"COED";3;"{}";"2023-2024";1
21;0;1;"GEC-STS";"Science,Technology, and Society";"COED";3;"{}";"2023-2024";1
22;0;1;"GEE-KKF";"Kontekstuwalisadong Komunikasyon sa Filipino";"COED";3;"{}";"2023-2024";1
23;0;1;"ED 215/ProfEd-E 324";"Technology for Teaching and Learning 1";"COED";3;"{}";"2023-2024";1
24;0;1;"ED 216/ProfEd-E 312";"Assessment Learning 1";"COED";3;"{}";"2023-2024";1
27;0;1;"TTL 217/MC 7";"Pagtuturo ng Filipino sa Elementary Grades";"COED";3;"{}";"2023-2024";1
28;0;1;"TD 1";"Into to Design and Fundamentals Sketching";"COED";3;"{}";"2023-2024";1
30;0;1;"GEC-RPH";"Reading Philippine History";"COED";3;"{}";"2023-2024";2
31;0;1;"GEE-GSPS";"Gender and Society with Peace Studies";"COED";3;"{}";"2023-2024";2
33;0;1;"ED 228";"The Teacher and The Community, School Culture and Organizational Leadership";"COED";3;"{}";"2023-2024";2
34;0;1;"PEH 228/MC 8";"Teaching PE and Health in the Elementary Grades";"COED";3;"{}";"2023-2024";2
35;0;1;"MTB-MLE 229/MC 9";"Content and Pedagogy for the Mother-Tongue";"COED";3;"{}";"2023-2024";2
36;0;1;"SSC 2210/MC 10";"Teaching Social Studies in the Elementary Grades (Culture and Geography)";"COED";3;"{}";"2023-2024";2
37;0;1;"MUSIC 2211/MC 11";"Teaching Music in the Elementary Grades";"COED";3;"{}";"2023-2024";2
39;0;1;"GEE-TEM";"The Entrepreneurial Mind";"COED";3;"{}";"2021-2022";1
40;0;1;"GEE-ICC";"Indigenous Creative Crafts";"COED";3;"{}";"2021-2022";1
